Advertiser ID,Advertiser Name,Primary Region,Membership Status,Datafeed Format,Feed ID,Feed Name,Language,Vertical,Last Imported,Last Checked,No of products,URL
"61655","Back to the Office","GB","Not Joined","Google","F197","","English","Retail","2026-06-13 15:32:16","2026-06-13 15:32:16","98774","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F197.csv.gz"
"116527","DXB CHOC","GB","Not Joined","Google","F199","","English","Retail","2026-05-06 06:32:41","2026-05-06 06:32:41","6","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F199.csv.gz"
"116665","isletan","US","Not Joined","Google","F206","","English","Retail","2026-06-13 14:08:46","2026-06-13 14:08:46","11","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F206.csv.gz"
"116677","Atenai London Affiliation Marketing","GB","Not Joined","Google","F208","","English","Retail","2026-06-13 14:38:44","2026-06-13 14:38:44","38","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F208.csv.gz"
"113464","BRUH. Skincare","US","Not Joined","Google","F224","","English","Retail","2026-06-13 14:48:00","2026-06-13 14:48:00","18","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F224.csv.gz"
"30995","ZONLIHOME (US)","US","Not Joined","Google","F231","","English","Retail","2026-02-28 03:44:48","2026-02-28 03:44:48","538","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F231.csv.gz"
"116701","LUXDRAPE","US","Not Joined","Google","F248","","English","Retail","2026-06-13 13:43:46","2026-06-13 13:43:46","741","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F248.csv.gz"
"116773","Botanical Green Lab","US","Not Joined","Google","F272","","English","Retail","2026-06-13 13:39:49","2026-06-13 13:39:49","92","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F272.csv.gz"
"116785","BASE-K","US","Not Joined","Google","F291","","English","Retail","2026-06-13 14:41:30","2026-06-13 14:41:30","10","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F291.csv.gz"
"19475","Fila UK","GB","Not Joined","Google","F295","","English","Retail","2026-06-13 14:18:12","2026-06-13 14:18:12","18396","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F295.csv.gz"
"117119","kemoway","FR","Not Joined","Google","F306","","French","Retail","2026-06-13 13:44:19","2026-06-13 13:44:19","30","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F306.csv.gz"
"117121","kemoway","DE","Not Joined","Google","F307","","German","Retail","2026-06-13 15:03:20","2026-06-13 15:03:20","30","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F307.csv.gz"
"62729","Glamory","DE","Not Joined","Google","F309","","German","Retail","2026-06-13 13:46:52","2026-06-13 13:46:52","4","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F309.csv.gz"
"116307","GroundingTime","US","Not Joined","Google","F312","","English","Retail","2025-07-29 02:53:19","2025-07-29 02:53:19","10","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F312.csv.gz"
"117221","MakeID","US","Not Joined","Google","F329","","English","Retail","2026-06-13 15:05:37","2026-06-13 15:05:37","26","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F329.csv.gz"
"117395","Marketing program","US","Not Joined","Google","F349","","English","Retail","2026-06-13 14:06:22","2026-06-13 14:06:22","19","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F349.csv.gz"
"117317","NeuroScent","GB","Not Joined","Google","F382","","English","Retail","2026-06-13 14:46:56","2026-06-13 14:46:56","37","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F382.csv.gz"
"98651","FLOURISH","GB","Not Joined","Google","F407","","English","Retail","2026-04-20 05:56:44","2026-04-20 05:56:44","15","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F407.csv.gz"
"117477","buybeautykorea","US","Not Joined","Google","F432","","English","Retail","2026-06-13 14:47:45","2026-06-13 14:47:45","4396","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F432.csv.gz"
"113418","Belord","US","Not Joined","Google","F434","","English","Retail","2026-06-13 14:30:41","2026-06-13 14:30:41","1701","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F434.csv.gz"
"37282","Game Over","GB","Not Joined","Google","F441","","English","Retail","2026-06-13 13:42:24","2026-06-13 13:42:24","144","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F441.csv.gz"
"37292","Gardenista","GB","Not Joined","Google","F444","","English","Retail","2026-06-13 14:21:30","2026-06-13 14:21:30","2671","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F444.csv.gz"
"117671","No.98 Beauty","GB","Not Joined","Google","F453","","English","Retail","2026-06-13 14:13:17","2026-06-13 14:13:17","16","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F453.csv.gz"
"117801","UUNA TEK Affliate Program","US","Not Joined","Google","F457","","English","Retail","2026-06-13 14:13:49","2026-06-13 14:13:49","160","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F457.csv.gz"
"117741","Finitex","US","Not Joined","Google","F472","","English","Retail","2026-06-13 13:39:04","2026-06-13 13:39:04","454","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F472.csv.gz"
"117849","ZazzMode","US","Not Joined","Google","F473","","English","Retail","2026-06-13 10:55:50","2026-06-13 10:55:50","911","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F473.csv.gz"
"117899","The Brush & Broom","GB","Not Joined","Google","F477","","English","Retail","2026-06-13 14:44:54","2026-06-13 14:44:54","229","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F477.csv.gz"
"117777","Sunshare","DE","Not Joined","Google","F481","","German","Retail","2026-06-13 14:04:21","2026-06-13 14:04:21","271","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F481.csv.gz"
"117633","shopify","US","Not Joined","Google","F489","","English","Retail","2026-01-06 23:19:47","2026-01-06 23:19:47","19","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F489.csv.gz"
"24617","Raw Beauty Lab","GB","Not Joined","Google","F493","","English","Retail","2026-06-13 13:37:00","2026-06-13 13:37:00","23","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F493.csv.gz"
"30461","Parfümerie Brückner DE","DE","Not Joined","Google","F498","","German","Retail","2026-06-13 14:06:39","2026-06-13 14:06:39","7273","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F498.csv.gz"
"28367","So Divine","GB","Not Joined","Google","F507","","English","Retail","2026-06-13 13:38:16","2026-06-13 13:38:16","85","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F507.csv.gz"
"66586","Bad Shirt Club","GB","Not Joined","Google","F513","","English","Retail","2026-06-13 14:11:14","2026-06-13 14:11:14","4088","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F513.csv.gz"
"899","Fitness Options","GB","Not Joined","Google","F528","","English","Retail","2026-06-13 14:04:58","2026-06-13 14:04:58","60","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F528.csv.gz"
"118063","Araco Interiors","GB","Not Joined","Google","F534","","English","Retail","2026-06-09 22:10:56","2026-06-09 22:10:56","4566","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F534.csv.gz"
"106891","PrimeGarden DE","DE","Not Joined","Google","F540","","German","Retail","2025-10-27 22:43:28","2025-10-27 22:43:28","923","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F540.csv.gz"
"118201","Celebre Store","IT","Not Joined","Google","F564","","Italian","Retail","2026-06-13 13:44:25","2026-06-13 13:44:25","1639","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F564.csv.gz"
"118271","Framed Works","GB","Not Joined","Google","F590","","English","Retail","2026-06-13 13:41:20","2026-06-13 13:41:20","1137","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F590.csv.gz"
"118079","Baby Shusher","US","Not Joined","Google","F593","","English","Retail","2026-06-13 14:46:25","2026-06-13 14:46:25","24","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F593.csv.gz"
"115943","Normanwalsh","GB","Not Joined","Google","F601","","English","Retail","2026-06-13 11:43:19","2026-06-13 11:43:19","1217","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F601.csv.gz"
"57285","garden sanctuary.","TR","Not Joined","Google","F620","","English","Retail","2025-08-27 22:46:00","2025-08-27 22:46:00","37","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F620.csv.gz"
"118139","hansmaker Affiliate Program","US","Not Joined","Google","F625","","English","Retail","2026-04-10 07:02:36","2026-04-10 07:02:36","23","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F625.csv.gz"
"75796","Afewvibe LTD","US","Not Joined","Google","F689","","English","Retail","2026-06-13 14:03:41","2026-06-13 14:03:41","2939","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F689.csv.gz"
"107524","HongKong Caesar lmport &amp; Export Co., Limited","DE","Not Joined","Google","F721","","English","Retail","2026-06-13 14:31:34","2026-06-13 14:31:34","287","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F721.csv.gz"
"116843","StepMotech","GB","Not Joined","Google","F752","","English","Retail","2025-07-31 06:21:07","2025-07-31 06:21:07","1","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F752.csv.gz"
"17453","goettgen.de - Das grosse Schmuck und Uhrenportal","DE","Not Joined","Google","F759","","German","Retail","2026-06-13 15:06:09","2026-06-13 15:06:09","18196","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F759.csv.gz"
"96145","HCK REFRIGERATOR HI-TECH COMPANY LIMITED","DE","Not Joined","Google","F832","","German","Retail","2026-06-13 15:19:00","2026-06-13 15:19:00","13","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F832.csv.gz"
"118551","OLAOLA","US","Not Joined","Google","F835","","English","Retail","2026-06-13 14:35:27","2026-06-13 14:35:27","640","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F835.csv.gz"
"87175","Beyond Memories","US","Not Joined","Google","F918","","English","Retail","2026-06-13 14:42:52","2026-06-13 14:42:52","938","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F918.csv.gz"
"118511","Yeamon Beauty","US","Not Joined","Google","F932","","English","Retail","2026-06-13 14:18:17","2026-06-13 14:18:17","12","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F932.csv.gz"
"114444","Earkings NL","NL","Not Joined","Google","F951","","Dutch","Retail","2026-06-13 14:27:34","2026-06-13 14:27:34","183","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F951.csv.gz"
"107998","Cheap Furniture Warehouse","GB","Not Joined","Google","F970","","English","Retail","2026-06-13 14:16:34","2026-06-13 14:16:34","2266","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F970.csv.gz"
"51893","Watch Home Awin First","GB","Not Joined","Google","F983","","English","Retail","2026-06-13 14:14:08","2026-06-13 14:14:08","1267","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F983.csv.gz"
"114046","Cerqular","US","Not Joined","Google","F1028","","English","Retail","2026-06-13 15:43:05","2026-06-13 15:43:05","182779","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F1028.csv.gz"
"119193","Mantra Flow","US","Not Joined","Google","F1063","","English","Retail","2026-06-13 14:33:06","2026-06-13 14:33:06","226","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F1063.csv.gz"
"119297","RaysDanc home use IPL laser hair remover","US","Not Joined","Google","F1130","","English","Retail","2026-06-13 13:47:47","2026-06-13 13:47:47","5","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F1130.csv.gz"
"119395","Fosi Audio","US","Not Joined","Google","F1133","","English","Retail","2026-06-13 14:27:18","2026-06-13 14:27:18","363","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F1133.csv.gz"
"119365","Elenker","US","Not Joined","Google","F1180","","English","Retail","2026-06-13 14:33:37","2026-06-13 14:33:37","113","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F1180.csv.gz"
"119037","Atelier De Glow","GB","Not Joined","Google","F1207","","English","Retail","2026-06-13 14:16:04","2026-06-13 14:16:04","693","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F1207.csv.gz"
"119345","RumbleBox","DE","Not Joined","Google","F1219","","German","Retail","2026-06-13 13:32:36","2026-06-13 13:32:36","24","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F1219.csv.gz"
"119387","NorthSky Supply","US","Not Joined","Google","F1259","","English","Retail","2026-06-13 14:00:44","2026-06-13 14:00:44","1318","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F1259.csv.gz"
"119761","Yeloly","US","Not Joined","Google","F1303","","English","Retail","2026-06-13 14:09:05","2026-06-13 14:09:05","90","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F1303.csv.gz"
"119513","Edify","US","Not Joined","Google","F1318","","English","Retail","2026-06-13 14:54:56","2026-06-13 14:54:56","29","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F1318.csv.gz"
"119369","The BitJoy eSIM (US)","US","Not Joined","Google","F1335","","English","Retail","2026-06-13 13:46:42","2026-06-13 13:46:42","1755","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F1335.csv.gz"
"119813","Will & Bear","AU","Not Joined","Google","F1339","","English","Retail","2026-04-27 21:56:54","2026-04-27 21:56:54","360","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F1339.csv.gz"
"119703","Vatrer","US","Not Joined","Google","F1341","","English","Retail","2026-06-13 13:44:25","2026-06-13 13:44:25","570","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F1341.csv.gz"
"112976","Brisks Outdoors","GB","Not Joined","Google","F1345","","English","Retail","2026-06-13 13:37:03","2026-06-13 13:37:03","1663","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F1345.csv.gz"
"70402","Thesupermade Inc","US","Not Joined","Google","F1352","","English","Retail","2026-06-13 15:36:23","2026-06-13 15:36:23","10257","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F1352.csv.gz"
"66912","Beyond Shakers","GB","Not Joined","Google","F1355","","English","Retail","2026-06-13 13:46:11","2026-06-13 13:46:11","66","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F1355.csv.gz"
"45747","Craft Buddy Shop","GB","Not Joined","Google","F1356","","English","Retail","2026-06-13 14:50:35","2026-06-13 14:50:35","1375","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F1356.csv.gz"
"67434","Car Audio Centre","GB","Not Joined","Google","F1406","","English","Retail","2026-06-13 15:04:49","2026-06-13 15:04:49","6597","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F1406.csv.gz"
"119879","Lancer Camera Backpack","US","Not Joined","Google","F1413","","English","Retail","2026-06-13 14:18:51","2026-06-13 14:18:51","64","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F1413.csv.gz"
"120193","Twist","US","Not Joined","Google","F1424","","English","Retail","2026-06-13 14:49:03","2026-06-13 14:49:03","163","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F1424.csv.gz"
"120341","Ahipos Horses","DE","Not Joined","Google","F1484","","German","Retail","2026-06-13 14:00:08","2026-06-13 14:00:08","24","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F1484.csv.gz"
"119683","Blooh","US","Not Joined","Google","F1517","","English","Retail","2026-06-13 14:55:42","2026-06-13 14:55:42","129","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F1517.csv.gz"
"31213","Lir Pharmacy","IE","Not Joined","Google","F1519","","English","Retail","2026-06-13 11:26:46","2026-06-13 11:26:46","2697","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F1519.csv.gz"
"120445","Stickalz – Car Graphics & Vehicle Decals","US","Not Joined","Google","F1542","","English","Retail","2026-06-13 15:30:04","2026-06-13 15:30:04","56478","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F1542.csv.gz"
"120213","Flooring Monster","GB","Not Joined","Google","F1583","","English","Retail","2026-06-13 13:55:24","2026-06-13 13:55:24","1105","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F1583.csv.gz"
"117883","Max Recovery Clothing","US","Not Joined","Google","F1587","","English","Retail","2026-05-25 22:22:28","2026-05-25 22:22:28","4","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F1587.csv.gz"
"119757","Wellshave","NL","Not Joined","Google","F1611","","Dutch","Retail","2026-06-13 15:01:28","2026-06-13 15:01:28","50","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F1611.csv.gz"
"118427","QUIKFLIP Hoodies convert to a backpack","DE","Not Joined","Google","F1625","","German","Retail","2026-06-13 13:42:51","2026-06-13 13:42:51","95","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F1625.csv.gz"
"119901","Living with Luxury","GB","Not Joined","Google","F1644","","English","Retail","2026-06-13 15:13:24","2026-06-13 15:13:24","3641","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F1644.csv.gz"
"102231","PartyPro NL","NL","Not Joined","Google","F1655","","Dutch","Retail","2026-06-13 14:08:18","2026-06-13 14:08:18","371","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F1655.csv.gz"
"120435","Pixie Dixie","GB","Not Joined","Google","F1662","","English","Retail","2026-06-13 14:41:46","2026-06-13 14:41:46","133","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F1662.csv.gz"
"120898","VSGO","US","Not Joined","Google","F1750","","English","Retail","2026-06-13 14:34:34","2026-06-13 14:34:34","262","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F1750.csv.gz"
"120575","ASMAX","US","Not Joined","Google","F1756","","English","Retail","2026-06-13 15:04:26","2026-06-13 15:04:26","29","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F1756.csv.gz"
"101327","KingRoon 3D Printer US closed 06.08.2025","US","Not Joined","Google","F1759","","English","Retail","2026-06-13 14:56:08","2026-06-13 14:56:08","2315","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F1759.csv.gz"
"97753","UPPER Brand | Best Diaper Bag","US","Not Joined","Google","F1774","","English","Retail","2026-06-13 14:19:21","2026-06-13 14:19:21","154","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F1774.csv.gz"
"45949","MASON New York Jewelry","US","Not Joined","Google","F1775","","English","Retail","2026-06-13 14:11:36","2026-06-13 14:11:36","457","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F1775.csv.gz"
"120950","Mason & Madison Co. Jewelry - US","US","Not Joined","Google","F1776","","English","Retail","2026-06-13 13:57:07","2026-06-13 13:57:07","2","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F1776.csv.gz"
"121112","Biobees","GB","Not Joined","Google","F1780","","English","Retail","2026-06-13 13:41:39","2026-06-13 13:41:39","3","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F1780.csv.gz"
"121158","TouchBeauty","US","Not Joined","Google","F1789","","English","Retail","2026-05-21 05:33:10","2026-05-21 05:33:10","42","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F1789.csv.gz"
"121156","YCZ Fragrance","US","Not Joined","Google","F1820","","English","Retail","2026-04-13 07:08:57","2026-04-13 07:08:57","62","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F1820.csv.gz"
"87441","COCORO ES","ES","Not Joined","Google","F1825","","Spanish","Retail","2026-06-13 13:48:18","2026-06-13 13:48:18","347","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F1825.csv.gz"
